,title,price,location,living_space,plot_area,rooms,broker,link,coordinates,latitude,longitude
77,Van Heemskerckstraat 37 3,519.000 k.k.,"Van Heemskerckstraat 37 3, 1013 NV Amsterdam",65 m^2,,2,DoeksenKlein Makelaardij,https://www.funda.nl/koop/amsterdam/appartement-42758973-van-heemskerckstraat-37-3/,"37-3, Van Heemskerckstraat, Zeeheldenbuurt, Amsterdam, Noord-Holland, Nederland, 1013NV, Nederland",52.3891928,4.8854761
78,Surinameplein 82 I,600.000 k.k.,"Surinameplein 82 I, 1058 GT Amsterdam",78 m^2,,4,RE/MAX PRO,https://www.funda.nl/koop/amsterdam/appartement-88112490-surinameplein-82-i/,"82-1, Surinameplein, Amsterdam, Noord-Holland, Nederland, 1058GT, Nederland",52.3588866,4.8506454
79,Tilanusstraat 33 3,825.000 k.k.,"Tilanusstraat 33 3, 1091 BD Amsterdam",127 m^2,,5,Makelaarsland,https://www.funda.nl/koop/amsterdam/appartement-42758723-tilanusstraat-33-3/,"33-3, Tilanusstraat, Oosterparkbuurt, Oost, Amsterdam, Noord-Holland, Nederland, 1091BD, Nederland",52.3585903,4.911614
80,Sarphatistraat 100 -2,1.175.000 k.k.,"Sarphatistraat 100 -2, 1018 GV Amsterdam",154 m^2,,5,B.V. Deltam Makelaardij o.g.,https://www.funda.nl/koop/amsterdam/appartement-42757203-sarphatistraat-100-2/,"100-2, Sarphatistraat, Weesperbuurt, Centrum, Amsterdam, Noord-Holland, Nederland, 1018GV, Nederland",52.3615892,4.9109361
81,Copernicusstraat 19 H,875.000 k.k.,"Copernicusstraat 19 H, 1098 JC Amsterdam",99 m^2,,4,Lammers + Dijkstra Makelaars,https://www.funda.nl/koop/amsterdam/appartement-88111734-copernicusstraat-19-h/,"19-H, Copernicusstraat, Middenmeer, Oost, Amsterdam, Noord-Holland, Nederland, 1098JC, Nederland",52.3543539,4.9360697
82,Van Ostadestraat 74 3+4,925.000 k.k.,"Van Ostadestraat 74 3+4, 1072 TB Amsterdam",105 m^2,,3,JA! Jaap Admiraal makelaardij,https://www.funda.nl/koop/amsterdam/appartement-42757082-van-ostadestraat-74-3-4/,"74-3, Van Ostadestraat, de Pijp, Zuid, Amsterdam, Noord-Holland, Nederland, 1072TB, Nederland",52.3517947,4.8897003
83,IJburglaan 1512,525.000 k.k.,"IJburglaan 1512, 1087 MA Amsterdam",108 m^2,,3,Hallie & Van Klooster Makelaardij,https://www.funda.nl/koop/amsterdam/appartement-42757912-ijburglaan-1512/,"1512, IJburglaan, IJburg, Amsterdam, Noord-Holland, Nederland, 1087MA, Nederland",52.3520117,5.0006453
84,Jisperveldstraat 592,300.000 k.k.,"Jisperveldstraat 592, 1024 BD Amsterdam",85 m^2,,3,Linger OG,https://www.funda.nl/koop/amsterdam/appartement-88111387-jisperveldstraat-592/,"592, Jisperveldstraat, Nieuwendam, Zunderdorp, Amsterdam, Noord-Holland, Nederland, 1024BD, Nederland",52.4004479,4.951925
85,Dirk Vreekenstraat 46,550.000 k.k.,"Dirk Vreekenstraat 46, 1019 GD Amsterdam",89 m^2,,3,Eefje Voogd Makelaardij,https://www.funda.nl/koop/amsterdam/appartement-42757735-dirk-vreekenstraat-46/,"46, Dirk Vreekenstraat, Oostelijk Havengebied, Amsterdam, Noord-Holland, Nederland, 1019GD, Nederland",52.3715294,4.9361002
86,Ceintuurbaan 464,675.000 k.k.,"Ceintuurbaan 464, 1074 EC Amsterdam",88 m^2,,3,Francis Helmig Makelaardij,https://www.funda.nl/koop/amsterdam/appartement-42757693-ceintuurbaan-464/,"464, Ceintuurbaan, Nieuwe Pijp, Zuid, Amsterdam, Noord-Holland, Nederland, 1074EC, Nederland",52.3556309,4.9044092
87,Pieter Calandlaan 1177,450.000 k.k.,"Pieter Calandlaan 1177, 1069 SE Amsterdam",106 m^2,,4,De Makelaers BV,https://www.funda.nl/koop/amsterdam/appartement-42757668-pieter-calandlaan-1177/,"1177, Pieter Calandlaan, Osdorp, Nieuw-West, Sloten, Amsterdam, Noord-Holland, Nederland, 1069SE, Nederland",52.3511343,4.7967849
88,Nieuwe Osdorpergracht 582,375.000 k.k.,"Nieuwe Osdorpergracht 582, 1068 HV Amsterdam",66 m^2,,3,KNAP Makelaardij Certified Expat Broker,https://www.funda.nl/koop/amsterdam/appartement-42757504-nieuwe-osdorpergracht-582/,"582, Nieuwe Osdorpergracht, Osdorp, Nieuw-West, Amsterdam, Noord-Holland, Nederland, 1068HV, Nederland",52.356422,4.8023101
89,Koninginneweg 137 3,595.000 k.k.,"Koninginneweg 137 3, 1075 CL Amsterdam",66 m^2,,3,Collectief Makelaars,https://www.funda.nl/koop/amsterdam/appartement-88110697-koninginneweg-137-3/,"137-3, Koninginneweg, Willemsparkbuurt, Zuid, Amsterdam, Noord-Holland, Nederland, 1075CL, Nederland",52.3532021,4.8638218
90,Filips van Almondestraat 29 -I,410.000 k.k.,"Filips van Almondestraat 29 -I, 1057 ZS Amsterdam",52 m^2,,3,Scholten Makelaars,https://www.funda.nl/koop/amsterdam/appartement-42756739-filips-van-almondestraat-29-i/,"29-2, Filips van Almondestraat, De Baarsjes, West, Amsterdam, Noord-Holland, Nederland, 1057ZS, Nederland",52.3699006,4.8575454
91,Wagenaarstraat 28 E,425.000 k.k.,"Wagenaarstraat 28 E, 1093 CR Amsterdam",58 m^2,,3,Makelaar J-oost,https://www.funda.nl/koop/amsterdam/appartement-88110138-wagenaarstraat-28-e/,"Wagenaarstraat, Dapperbuurt, Oost, Amsterdam, Noord-Holland, Nederland, 1093CZ, Nederland",52.3632461,4.9271312
92,Gibraltarstraat 60 H,500.000 k.k.,"Gibraltarstraat 60 H, 1055 NR Amsterdam",71 m^2,,3,MAKELAAR BERT,https://www.funda.nl/koop/amsterdam/appartement-42755198-gibraltarstraat-60-h/,"60-H, Gibraltarstraat, Landlust, West, Amsterdam, Noord-Holland, Nederland, 1055NR, Nederland",52.383837,4.8506963
93,Hoofdweg 393 2,450.000 k.k.,"Hoofdweg 393 2, 1056 CS Amsterdam",57 m^2,,3,Burger Elkerbout Makelaars en Taxateurs,https://www.funda.nl/koop/amsterdam/appartement-42755174-hoofdweg-393-2/,"393-2, Hoofdweg, Van Galenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1056CS, Nederland",52.3722252,4.8488539
94,H. Gerhardstraat 56,625.000 k.k.,"H. Gerhardstraat 56, 1069 TD Amsterdam",118 m^2,,4,Slot Makelaardij o.g. BV,https://www.funda.nl/koop/amsterdam/appartement-42755168-h-gerhardstraat-56/,"56, H. Gerhardstraat, Nieuw-Sloten, Nieuw-West, Sloten, Amsterdam, Noord-Holland, Nederland, 1069TD, Nederland",52.3517154,4.8015623
95,Karel Klinkenbergstraat 1 L,750.000 k.k.,"Karel Klinkenbergstraat 1 L, 1061 AH Amsterdam",116 m^2,,3,Makelaarsland,https://www.funda.nl/koop/amsterdam/appartement-42755893-karel-klinkenbergstraat-1-l/,"Karel Klinkenbergstraat, Overtoomse Veld, Amsterdam, Noord-Holland, Nederland, 1061AJ, Nederland",52.3673002,4.8349722
96,Biesboschstraat 34 2,700.000 k.k.,"Biesboschstraat 34 2, 1078 MT Amsterdam",79 m^2,,4,De Graaf & Groot Makelaars,https://www.funda.nl/koop/amsterdam/appartement-42755878-biesboschstraat-34-2/,"34-2, Biesboschstraat, Scheldebuurt, Zuid, Amsterdam, Noord-Holland, Nederland, 1078MT, Nederland",52.3453945,4.8979755
97,Swammerdamstraat 44 4,360.000 k.k.,"Swammerdamstraat 44 4, 1091 RV Amsterdam",34 m^2,,2,Edens Makelaardij,https://www.funda.nl/koop/amsterdam/appartement-42755486-swammerdamstraat-44-4/,"44-4, Swammerdamstraat, Weesperzijde, Amsterdam, Noord-Holland, Nederland, 1091RV, Nederland",52.3574366,4.9076514
98,Peperstraat 9 A,725.000 k.k.,"Peperstraat 9 A, 1011 TJ Amsterdam",142 m^2,,4,Van de Steege Makelaarsgroep,https://www.funda.nl/koop/amsterdam/appartement-42644392-peperstraat-9-a/,"Peperstraat, Rapenburg, Centrum, Amsterdam, Noord-Holland, Nederland, 1011TL, Nederland",52.3716972,4.907771
99,Burgemeester Tellegenstraat 39 II,500.000 k.k.,"Burgemeester Tellegenstraat 39 II, 1073 KB Amsterdam",62 m^2,,4,MAKELAAR BERT,https://www.funda.nl/koop/amsterdam/appartement-42644260-burgemeester-tellegenstraat-39-ii/,"Burgemeester Tellegenstraat, Diamantbuurt, Zuid, Amsterdam, Noord-Holland, Nederland, 1073KC, Nederland",52.3500478,4.8985706
100,Bentinckstraat 9 B,700.000 k.k.,"Bentinckstraat 9 B, 1051 GC Amsterdam",93 m^2,,3,Scholten Makelaars,https://www.funda.nl/koop/amsterdam/appartement-42644935-bentinckstraat-9-b/,"Bentinckstraat, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1051, Nederland",52.3830338,4.8706086
101,Filips van Almondestraat 9 1,400.000 k.k.,"Filips van Almondestraat 9 1, 1057 ZR Amsterdam",50 m^2,,3,Makelaarskantoor BEN,https://www.funda.nl/koop/amsterdam/appartement-42644842-filips-van-almondestraat-9-1/,"9-1, Filips van Almondestraat, De Baarsjes, West, Amsterdam, Noord-Holland, Nederland, 1057ZR, Nederland",52.3699857,4.858455
102,Badhuiskade 283,860.000 k.k.,"Badhuiskade 283, 1031 KV Amsterdam",114 m^2,,3,Eefje Voogd Makelaardij,https://www.funda.nl/koop/amsterdam/appartement-42644680-badhuiskade-283/,"283, Badhuiskade, Amsterdam, Noord-Holland, Nederland, 1031KV, Nederland",52.3853076,4.9055255
103,Leksmondhof 59,450.000 k.k.,"Leksmondhof 59, 1108 EP Amsterdam",89 m^2,,3,Makelaardij Van der Linden Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-42644579-leksmondhof-59/,"59, Leksmondhof, K-buurt, Zuidoost, Amsterdam, Noord-Holland, Nederland, 1108EP, Nederland",52.3103542,4.9820619
104,Schipluidenlaan 62 +PP,375.000 k.k.,"Schipluidenlaan 62 +PP, 1062 HE Amsterdam",56 m^2,,2,Yourhome Makelaars,https://www.funda.nl/koop/amsterdam/appartement-42643363-schipluidenlaan-62-pp/,,,
105,Aalsmeerweg 125 huis,538.000 k.k.,"Aalsmeerweg 125 huis, 1059 AH Amsterdam",60 m^2,,2,Broersma Makelaardij,https://www.funda.nl/koop/amsterdam/appartement-42643234-aalsmeerweg-125-huis/,,,
106,Nida Senffstraat 5,575.000 k.k.,"Nida Senffstraat 5, 1095 MX Amsterdam",89 m^2,,4,Carla van den Brink B.V.,https://www.funda.nl/koop/amsterdam/appartement-42643065-nida-senffstraat-5/,"5, Nida Senffstraat, Sportheldenbuurt, Schellingwoude, Amsterdam, Noord-Holland, Nederland, 1095MX, Nederland",52.3725792,4.9645722
107,Donarstraat 11 -III,1.075.000 k.k.,"Donarstraat 11 -III, 1076 CA Amsterdam",131 m^2,,4,Carla van den Brink B.V.,https://www.funda.nl/koop/amsterdam/appartement-42643803-donarstraat-11-iii/,"Donarstraat, Stadionbuurt, Zuid, Amsterdam, Noord-Holland, Nederland, 1076BN, Nederland",52.3435552,4.8631192
108,Govert Flinckstraat 111 2A,425.000 k.k.,"Govert Flinckstraat 111 2A, 1072 EG Amsterdam",51 m^2,,2,Makelaardij Van der Linden Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-42643701-govert-flinckstraat-111-2a/,"111-2A, Govert Flinckstraat, de Pijp, Zuid, Amsterdam, Noord-Holland, Nederland, 1072EG, Nederland",52.3548234,4.8916037
109,Nieuwe Leliestraat 4 III,600.000 k.k.,"Nieuwe Leliestraat 4 III, 1015 SP Amsterdam",72 m^2,,3,Pappie & Van der Zee Makelaars,https://www.funda.nl/koop/amsterdam/appartement-42643687-nieuwe-leliestraat-4-iii/,"Nieuwe Leliestraat, Jordaan, Centrum, Amsterdam, Noord-Holland, Nederland, 1015TA, Nederland",52.3753017,4.8808602
110,Céramiquelaan 197,1.000.000 k.k.,"Céramiquelaan 197, 1031 KG Amsterdam",121 m^2,,4,Eefje Voogd Makelaardij,https://www.funda.nl/koop/amsterdam/appartement-42643597-ceramiquelaan-197/,"197, Céramiquelaan, Amsterdam, Noord-Holland, Nederland, 1031KG, Nederland",52.3859965,4.9027992
111,Jacob van Arteveldestraat 4 -C,535.000 k.k.,"Jacob van Arteveldestraat 4 -C, 1061 CK Amsterdam",87 m^2,,4,De Makelaers BV,https://www.funda.nl/koop/amsterdam/appartement-42643456-jacob-van-arteveldestraat-4-c/,"Jacob van Arteveldestraat, Kolenkitbuurt, Amsterdam, Noord-Holland, Nederland, 1061DK, Nederland",52.3781508,4.8422838
112,Vincent van Goghstraat 23 A,600.000 k.k.,"Vincent van Goghstraat 23 A, 1072 KK Amsterdam",70 m^2,,3,Heeren Makelaars,https://www.funda.nl/koop/amsterdam/appartement-42643433-vincent-van-goghstraat-23-a/,"23, Vincent van Goghstraat, Lanenrijk, Weesp, Amsterdam, Noord-Holland, Nederland, 1382VD, Nederland",52.3110864,5.03816
113,Rietlandpark 169,643.000 k.k.,"Rietlandpark 169, 1019 DT Amsterdam",100 m^2,,3,RET Makelaars - De makelaar van Amsterdam-Oost!,https://www.funda.nl/koop/amsterdam/appartement-42642387-rietlandpark-169/,"169, Rietlandpark, Oostelijk Havengebied, Amsterdam, Noord-Holland, Nederland, 1019DT, Nederland",52.3734135,4.9352591
114,Kanaalstraat 193 3,775.000 k.k.,"Kanaalstraat 193 3, 1054 XG Amsterdam",109 m^2,,3,Lammers + Dijkstra Makelaars,https://www.funda.nl/koop/amsterdam/appartement-88006395-kanaalstraat-193-3/,"193-3, Kanaalstraat, Oud-West, Amsterdam, Noord-Holland, Nederland, 1054XG, Nederland",52.3606616,4.8576709
115,Van Rensselaerstraat 4 1,575.000 k.k.,"Van Rensselaerstraat 4 1, 1058 XS Amsterdam",74 m^2,,3,JA! Jaap Admiraal makelaardij,https://www.funda.nl/koop/amsterdam/appartement-42642503-van-rensselaerstraat-4-1/,"4-1, Van Rensselaerstraat, Westindische Buurt, Amsterdam, Noord-Holland, Nederland, 1058XS, Nederland",52.3623752,4.8569308
116,John Motleyhof 15 hs.,270.000 k.k.,"John Motleyhof 15 hs., 1065 XP Amsterdam",47 m^2,,2,Makelaardij Van der Linden Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-42641641-john-motleyhof-15-hs/,"John Motleyhof, Slotervaart, Nieuw-West, Amsterdam, Noord-Holland, Nederland, 1065XN, Nederland",52.363015,4.8316701
117,Schippersstraat 7 h,675.000 k.k.,"Schippersstraat 7 h, 1011 AZ Amsterdam",73 m^2,,3,De Makelaers BV,https://www.funda.nl/koop/amsterdam/appartement-42641636-schippersstraat-7-h/,"7-H, Schippersstraat, Nieuwmarkt/Lastage, Centrum, Amsterdam, Noord-Holland, Nederland, 1011AZ, Nederland",52.3733239,4.9057004
118,Borneolaan 388 +PP,750.000 k.k.,"Borneolaan 388 +PP, 1019 KL Amsterdam",116 m^2,,4,Heeren Makelaars,https://www.funda.nl/koop/amsterdam/appartement-42640271-borneolaan-388-pp/,,,
119,Parnassusweg 145,725.000 k.k.,"Parnassusweg 145, 1077 DE Amsterdam",95 m^2,,4,Eefje Voogd Makelaardij,https://www.funda.nl/koop/amsterdam/appartement-42640197-parnassusweg-145/,"145, Parnassusweg, Zuidas, Zuid, Amsterdam, Noord-Holland, Nederland, 1077DE, Nederland",52.3433462,4.8686774
120,Von Liebigweg 1 H,575.000 k.k.,"Von Liebigweg 1 H, 1097 RJ Amsterdam",75 m^2,,3,KRK Makelaars Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-42640844-von-liebigweg-1-h/,"1-H, Von Liebigweg, Frankendael, Amsterdam, Noord-Holland, Nederland, 1097RJ, Nederland",52.3415656,4.924783
121,Houtrijkstraat 176,365.000 k.k.,"Houtrijkstraat 176, 1013 VL Amsterdam",54 m^2,,2,Ramón Mossel Makelaardij o.g. B.V.,https://www.funda.nl/koop/amsterdam/appartement-42640805-houtrijkstraat-176/,"176, Houtrijkstraat, Spaarndammerbuurt, Amsterdam, Noord-Holland, Nederland, 1013VL, Nederland",52.3906784,4.8775849
122,Roerstraat 91 G,725.000 k.k.,"Roerstraat 91 G, 1078 LL Amsterdam",84 m^2,,4,JA! Jaap Admiraal makelaardij,https://www.funda.nl/koop/amsterdam/appartement-42640593-roerstraat-91-g/,"Roerstraat, Scheldebuurt, Zuid, Amsterdam, Noord-Holland, Nederland, 1078LL, Nederland",52.3443967,4.8963795
123,Tilanusstraat 332,695.000 k.k.,"Tilanusstraat 332, 1091 MZ Amsterdam",84 m^2,,4,RET Makelaars - De makelaar van Amsterdam-Oost!,https://www.funda.nl/koop/amsterdam/appartement-42649399-tilanusstraat-332/,"332, Tilanusstraat, Oosterparkbuurt, Oost, Amsterdam, Noord-Holland, Nederland, 1091MZ, Nederland",52.3590052,4.9142815
124,Beethovenstraat 211,550.000 k.k.,"Beethovenstraat 211, 1077 JE Amsterdam",80 m^2,,3,Makelaar in Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-88003481-beethovenstraat-211/,"211, Beethovenstraat, Zuidas, Zuid, Amsterdam, Noord-Holland, Nederland, 1077JE, Nederland",52.3420814,4.877512
125,Rooseveltlaan 8 2,998.000 k.k.,"Rooseveltlaan 8 2, 1078 NH Amsterdam",140 m^2,,4,Aardenhout Makelaardij,https://www.funda.nl/koop/amsterdam/appartement-88003310-rooseveltlaan-8-2/,"8-2, Rooseveltlaan, Scheldebuurt, Amsterdam, Noord-Holland, Nederland, 1078NH, Nederland",52.3454485,4.9023921
126,Nova Zemblastraat 365,450.000 k.k.,"Nova Zemblastraat 365, 1013 RJ Amsterdam",65 m^2,,2,Makelaar in Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-88003156-nova-zemblastraat-365/,"365, Nova Zemblastraat, Spaarndammerbuurt, Amsterdam, Noord-Holland, Nederland, 1013RJ, Nederland",52.3902115,4.8818945
127,Jan de Louterstraat 36,590.000 k.k.,"Jan de Louterstraat 36, 1063 KX Amsterdam",157 m^2,,3,Makelaardij Van der Linden Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-42648626-jan-de-louterstraat-36/,"36, Jan de Louterstraat, Slotermeer, Amsterdam, Noord-Holland, Nederland, 1063KX, Nederland",52.3797038,4.82008
128,Simsonstraat 3 1,400.000 k.k.,"Simsonstraat 3 1, 1076 VG Amsterdam",43 m^2,,2,HHW Makelaars,https://www.funda.nl/koop/amsterdam/appartement-42647957-simsonstraat-3-1/,"3-1, Simsonstraat, Stadionbuurt, Zuid, Amsterdam, Noord-Holland, Nederland, 1076VG, Nederland",52.3480818,4.8603157
129,Amsteldijk 118 2,1.100.000 k.k.,"Amsteldijk 118 2, 1078 RR Amsterdam",127 m^2,,5,Makelaarsland,https://www.funda.nl/koop/amsterdam/appartement-42647803-amsteldijk-118-2/,"118-2, Amsteldijk, IJselbuurt, Oost, Amsterdam, Noord-Holland, Nederland, 1078RR, Nederland",52.3484097,4.9100499
130,Zeeburgerdijk 62 -A,739.000 k.k.,"Zeeburgerdijk 62 -A, 1094 AE Amsterdam",93 m^2,,3,RET Makelaars - De makelaar van Amsterdam-Oost!,https://www.funda.nl/koop/amsterdam/appartement-42646223-zeeburgerdijk-62-a/,"Zeeburgerdijk, Amsterdam, Noord-Holland, Nederland, 1095LJ, Nederland",52.3661911,4.9548068
131,Bestevâerstraat 195 -III,675.000 k.k.,"Bestevâerstraat 195 -III, 1055 TL Amsterdam",92 m^2,,4,De Makelaers BV,https://www.funda.nl/koop/amsterdam/appartement-42646202-bestevaerstraat-195-iii/,"Bestevâerstraat, De Baarsjes, West, Amsterdam, Noord-Holland, Nederland, 1056BK, Nederland",52.3723195,4.8603718
132,Erich Salomonstraat 366,495.000 k.k.,"Erich Salomonstraat 366, 1087 GZ Amsterdam",86 m^2,,3,Hallie & Van Klooster Makelaardij,https://www.funda.nl/koop/amsterdam/appartement-42646884-erich-salomonstraat-366/,"366, Erich Salomonstraat, IJburg, Amsterdam, Noord-Holland, Nederland, 1087GZ, Nederland",52.3561909,4.9978933
133,Tweede Jan Steenstraat 100 H,1.650.000 k.k.,"Tweede Jan Steenstraat 100 H, 1074 CS Amsterdam",184 m^2,,8,Eefje Voogd Makelaardij,https://www.funda.nl/koop/amsterdam/appartement-42645149-tweede-jan-steenstraat-100-h/,"100-H, Tweede Jan Steenstraat, Oude Pijp, Zuid, Amsterdam, Noord-Holland, Nederland, 1074CS, Nederland",52.3569026,4.903427
134,Tweede Jan Steenstraat 23 -huis,995.000 k.k.,"Tweede Jan Steenstraat 23 -huis, 1073 VL Amsterdam",126 m^2,,4,Voogd Makelaardij,https://www.funda.nl/koop/amsterdam/appartement-42645998-tweede-jan-steenstraat-23-huis/,,,
135,Joan Melchior Kemperstraat 113 1,795.000 k.k.,"Joan Melchior Kemperstraat 113 1, 1051 TN Amsterdam",100 m^2,,5,Makelaarsgroep o.g. Commissaris,https://www.funda.nl/koop/amsterdam/appartement-42634511-joan-melchior-kemperstraat-113-1/,"113-1, Joan Melchior Kemperstraat, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1051TN, Nederland",52.3846174,4.8706041
136,Ceintuurbaan 7 2,1.495.000 k.k.,"Ceintuurbaan 7 2, 1072 ER Amsterdam",188 m^2,,7,DoeksenKlein Makelaardij,https://www.funda.nl/koop/amsterdam/appartement-42634431-ceintuurbaan-7-2/,"7-2, Ceintuurbaan, de Pijp, Zuid, Amsterdam, Noord-Holland, Nederland, 1072ER, Nederland",52.352441,4.8872269
137,Jacques Veltmanstraat 29,900.000 k.k.,"Jacques Veltmanstraat 29, 1065 EG Amsterdam",167 m^2,,5,Makelaardij Van der Linden Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-42633188-jacques-veltmanstraat-29/,"29, Jacques Veltmanstraat, Slotervaart, Nieuw-West, Amsterdam, Noord-Holland, Nederland, 1065EG, Nederland",52.3557051,4.833128
138,Leeuwenwerf 129,275.000 k.k.,"Leeuwenwerf 129, 1018 KB Amsterdam",41 m^2,,,Makelaar1 Internetmakelaar,https://www.funda.nl/koop/amsterdam/appartement-42633917-leeuwenwerf-129/,"129, Leeuwenwerf, Oostelijke Eilanden, Centrum, Amsterdam, Noord-Holland, Nederland, 1018KB, Nederland",52.3737294,4.9216725
139,Purperhoedenveem 72,500.000 k.k.,"Purperhoedenveem 72, 1019 HM Amsterdam",76 m^2,,3,TWM Makelaardij Amsterdam/Purmerend,https://www.funda.nl/koop/amsterdam/appartement-42633960-purperhoedenveem-72/,"72, Purperhoedenveem, Oostelijk Havengebied, Amsterdam, Noord-Holland, Nederland, 1019HM, Nederland",52.3760113,4.9260397
140,Maria Austriastraat 48,515.000 k.k.,"Maria Austriastraat 48, 1087 CJ Amsterdam",88 m^2,,3,Hallie & Van Klooster Makelaardij,https://www.funda.nl/koop/amsterdam/appartement-42632140-maria-austriastraat-48/,"48, Maria Austriastraat, IJburg, Amsterdam, Noord-Holland, Nederland, 1087CJ, Nederland",52.3578632,4.992638
141,Keizersgracht 94 A,825.000 k.k.,"Keizersgracht 94 A, 1015 CV Amsterdam",96 m^2,,2,Makelaarsland,https://www.funda.nl/koop/amsterdam/appartement-42631661-keizersgracht-94-a/,"Keizersgracht, Grachtengordel, Centrum, Amsterdam, Noord-Holland, Nederland, 1017EW, Nederland",52.3636222,4.8983883
142,Camperstraat 44 2,495.000 k.k.,"Camperstraat 44 2, 1091 AH Amsterdam",67 m^2,,4,De Graaf & Groot Makelaars,https://www.funda.nl/koop/amsterdam/appartement-42630226-camperstraat-44-2/,"44-2, Camperstraat, Oosterparkbuurt, Oost, Amsterdam, Noord-Holland, Nederland, 1091AH, Nederland",52.3579228,4.913324
143,Zuidelijke Wandelweg 97,1.350.000 k.k.,"Zuidelijke Wandelweg 97, 1079 RK Amsterdam",144 m^2,,4,Heeren Makelaars,https://www.funda.nl/koop/amsterdam/appartement-42630928-zuidelijke-wandelweg-97/,"97, Zuidelijke Wandelweg, Rivierenbuurt, Zuid, Amsterdam, Noord-Holland, Nederland, 1079RK, Nederland",52.3381174,4.8965232
144,Kromme Waal 20 B,935.000 k.k.,"Kromme Waal 20 B, 1011 BT Amsterdam",125 m^2,,3,Engel & Völkers Amsterdam Zuid,https://www.funda.nl/koop/amsterdam/appartement-88091071-kromme-waal-20-b/,"Kromme Waal, Nieuwmarkt/Lastage, Centrum, Amsterdam, Noord-Holland, Nederland, 1011AH, Nederland",52.3756956,4.9032068
145,Vaartstraat 68 1,700.000 k.k.,"Vaartstraat 68 1, 1075 RS Amsterdam",98 m^2,,4,Makelaarsland,https://www.funda.nl/koop/amsterdam/appartement-42637499-vaartstraat-68-1/,"68-1, Vaartstraat, Schinkelbuurt, Amsterdam, Noord-Holland, Nederland, 1075RS, Nederland",52.3501564,4.8539359
146,Van Ostadestraat 374 -III,399.000 k.k.,"Van Ostadestraat 374 -III, 1074 XA Amsterdam",47 m^2,,2,Scholten Makelaars,https://www.funda.nl/koop/amsterdam/appartement-42636752-van-ostadestraat-374-iii/,,,
147,Gustav Mahlerlaan 531 E,475.000 k.k.,"Gustav Mahlerlaan 531 E, 1082 MK Amsterdam",66 m^2,,2,KNAP Makelaardij Certified Expat Broker,https://www.funda.nl/koop/amsterdam/appartement-42635176-gustav-mahlerlaan-531-e/,"Gustav Mahlerlaan, Zuidas, Zuid, Amsterdam, Noord-Holland, Nederland, 1082LZ, Nederland",52.3366981,4.8691951
148,Osdorper Ban 774,450.000 k.k.,"Osdorper Ban 774, 1069 ZR Amsterdam",79 m^2,,3,Nieuw West Makelaardij B.V.,https://www.funda.nl/koop/amsterdam/appartement-42629744-osdorper-ban-774/,"774, Osdorper Ban, Osdorp, Nieuw-West, Amsterdam, Noord-Holland, Nederland, 1069ZR, Nederland",52.3602128,4.7897349
149,Amsteldijk 19 H,1.700.000 k.k.,"Amsteldijk 19 H, 1074 HS Amsterdam",198 m^2,,8,PUUR* Makelaars Amsterdam - Zuid,https://www.funda.nl/koop/amsterdam/appartement-42628880-amsteldijk-19-h/,"19-H, Amsteldijk, Oude Pijp, Amsterdam, Noord-Holland, Nederland, 1074HS, Nederland",52.3571223,4.9042897
150,IJburglaan 724,675.000 k.k.,"IJburglaan 724, 1087 CE Amsterdam",130 m^2,,3,RET Makelaars - De makelaar van Amsterdam-Oost!,https://www.funda.nl/koop/amsterdam/appartement-42627399-ijburglaan-724/,"724, IJburglaan, IJburg, Amsterdam, Noord-Holland, Nederland, 1087CE, Nederland",52.3563439,4.9925486
151,Wibautstraat 176 B,590.000 k.k.,"Wibautstraat 176 B, 1091 GR Amsterdam",81 m^2,,3,Gewoon Simpel Makelaars,https://www.funda.nl/koop/amsterdam/appartement-88078690-wibautstraat-176-b/,"Wibautstraat, Weesperzijde, Amsterdam, Noord-Holland, Nederland, 1091GM, Nederland",52.3576872,4.9094705
152,Cruquiuskade 47,1.150.000 k.k.,"Cruquiuskade 47, 1018 AM Amsterdam",171 m^2,,4,Peters en Partners,https://www.funda.nl/koop/amsterdam/appartement-42614468-cruquiuskade-47/,"47, Cruquiuskade, Oostelijke Eilanden, Centrum, Amsterdam, Noord-Holland, Nederland, 1018AM, Nederland",52.3675737,4.9288141
153,IJdoornlaan 261 R3,525.000 k.k.,"IJdoornlaan 261 R3, 1024 KM Amsterdam",117 m^2,,4,Van de Steege Makelaarsgroep,https://www.funda.nl/koop/amsterdam/appartement-42612247-ijdoornlaan-261-r3/,"IJdoornlaan, Banne Buiksloot, Noord, Amsterdam, Noord-Holland, Nederland, 1034BL, Nederland",52.4093062,4.9146547
