,title,price,location,living_space,plot_area,rooms,broker,link,coordinates,latitude,longitude
17,Abrikozenstraat 94,375.000 k.k.,"Abrikozenstraat 94, 1033 KE Amsterdam",70 m^2,128 m^2,3,Linger OG,https://www.funda.nl/koop/amsterdam/huis-88005438-abrikozenstraat-94/,"94, Abrikozenstraat, Tuttifruttidorp, Noord, Amsterdam, Noord-Holland, Nederland, 1033KE, Nederland",52.4111102,4.8996308
18,Bruinvisstraat 77,395.000 k.k.,"Bruinvisstraat 77, 1035 HX Amsterdam",96 m^2,82 m^2,4,VLIEG Makelaars Amsterdam OG,https://www.funda.nl/koop/amsterdam/huis-42641513-bruinvisstraat-77/,"77, Bruinvisstraat, Oostzanerwerf, Amsterdam, Noord-Holland, Nederland, 1035HX, Nederland",52.4240039,4.8858606
19,Claus van Amsbergstraat 20,600.000 k.k.,"Claus van Amsbergstraat 20, 1102 AZ Amsterdam",140 m^2,90 m^2,7,Linger OG,https://www.funda.nl/koop/amsterdam/huis-88004753-claus-van-amsbergstraat-20/,"20, Claus van Amsbergstraat, F buurt, Zuidoost, Amsterdam, Noord-Holland, Nederland, 1102AZ, Nederland",52.3165892,4.9534509
20,Elpermeer 1,450.000 k.k.,"Elpermeer 1, 1025 AA Amsterdam",109 m^2,98 m^2,6,Hoekstra en van Eck Amsterdam Noord,https://www.funda.nl/koop/amsterdam/huis-42640999-elpermeer-1/,"1, Elpermeer, Buikslotermeer, Zunderdorp, Amsterdam, Noord-Holland, Nederland, 1025AA, Nederland",52.4012805,4.9486255
21,Eeuwige Jeugdlaan 27,600.000 k.k.,"Eeuwige Jeugdlaan 27, 1022 KG Amsterdam",130 m^2,133 m^2,5,Hoekstra en van Eck Amsterdam Noord,https://www.funda.nl/koop/amsterdam/huis-42640722-eeuwige-jeugdlaan-27/,"27, Eeuwige Jeugdlaan, Elzenhagen-Noord, Noord, Amsterdam, Noord-Holland, Nederland, 1022KG, Nederland",52.4065028,4.9326017
22,Le Tourmalet 93,450.000 k.k.,"Le Tourmalet 93, 1060 NX Amsterdam",107 m^2,120 m^2,5,Hoekstra en van Eck Amsterdam West,https://www.funda.nl/koop/amsterdam/huis-42649335-le-tourmalet-93/,"93, Le Tourmalet, De Aker, Amsterdam, Noord-Holland, Nederland, 1060NX, Nederland",52.3514025,4.771771
23,Windjammerdijk 38,850.000 k.k.,"Windjammerdijk 38, 1086 VC Amsterdam",150 m^2,95 m^2,6,Hallie & Van Klooster Makelaardij,https://www.funda.nl/koop/amsterdam/huis-42649744-windjammerdijk-38/,"38, Windjammerdijk, IJburg, Durgerdam, Amsterdam, Noord-Holland, Nederland, 1086VC, Nederland",52.3649429,4.9865262
24,Wyandottestraat 18,499.500 k.k.,"Wyandottestraat 18, 1109 BT Amsterdam",119 m^2,134 m^2,5,Koster Di Giacomo,https://www.funda.nl/koop/amsterdam/huis-42648993-wyandottestraat-18/,"18, Wyandottestraat, Driemond, Amsterdam, Noord-Holland, Nederland, 1109BT, Nederland",52.3048976,5.0145147
25,Kouwenoordweg 22,600.000 k.k.,"Kouwenoordweg 22, 1104 HL Amsterdam",164 m^2,125 m^2,6,Jansen Smit Makelaars en Taxateurs,https://www.funda.nl/koop/amsterdam/huis-42647442-kouwenoordweg-22/,"22, Kouwenoordweg, K-buurt, Amsterdam, Noord-Holland, Nederland, 1104HL, Nederland",52.3157841,4.9876881
26,Vennepluimstraat 6,719.000 k.k.,"Vennepluimstraat 6, 1087 CG Amsterdam",120 m^2,92 m^2,4,RET Makelaars - De makelaar van Amsterdam-Oost!,https://www.funda.nl/koop/amsterdam/huis-42646116-vennepluimstraat-6/,"6, Vennepluimstraat, IJburg, Amsterdam, Noord-Holland, Nederland, 1087CG, Nederland",52.3565861,4.9896989
